Angular Width|Anchura angular
Strimer Animation Speed|Strimer: velocidad de animación
Strimer Audio Sensitivity|Strimer: sensibilidad de audio
Strimer Audio Smoothing|Strimer: suavizado de audio
Strimer Bass Level|Strimer: nivel de graves
Strimer Block Count|Strimer: número de bloques
Strimer Block Size|Strimer: tamaño de bloque
Strimer Block Spacing|Strimer: espacio entre bloques
Strimer Columns|Strimer: columnas
Strimer Direction|Strimer: dirección
Strimer Easing|Strimer: interpolación
Strimer Glitch Frequency|Strimer: frecuencia de glitch
Strimer Pulse Speed|Strimer: velocidad de pulso
Strimer Pulse Sync|Strimer: sincronización de pulso
Strimer Rows|Strimer: filas
Strimer Snake Direction|Strimer: dirección serpiente
Strimer Treble Boost|Strimer: refuerzo de agudos
Stroke Animation Mode|Contorno: modo de animación
Stroke Animation Speed|Contorno: velocidad de animación
Stroke Cycle Colors|Contorno: colores del ciclo
Stroke Cycle Speed|Contorno: velocidad del ciclo
Stroke Grad Type|Contorno: tipo de degradado
Stroke Gradient Stops|Contorno: paradas del degradado
Stroke Phase Offset|Contorno: desfase de fase
Stroke Rotation Speed|Contorno: velocidad de rotación
Stroke Scroll Dir|Contorno: dirección de desplazamiento
Stroke Use Sharp Gradient|Contorno: degradado definido
Stroke Width|Grosor del contorno
Tetris Animation|Tetris: animación
Tetris Block Count|Tetris: número de bloques
Tetris Blur Edges|Tetris: difuminar bordes
Tetris Bounce|Tetris: rebote
Tetris Custom Mix Color|Tetris: color de mezcla personalizado
Tetris Hold|Tetris: retención
Tetris Hold Time|Tetris: tiempo de retención
Tetris Mix Color Mode|Tetris: modo de mezcla de color
Tetris Speed|Tetris: velocidad
Text Align|Alineación del texto
Text Animation|Animación del texto
Text Animation Speed|Velocidad de animación del texto
Time Plot Axes Style|Gráfico temporal: estilo de ejes
Time Plot Fill Area|Gráfico temporal: rellenar área
Time Plot Line Thickness|Gráfico temporal: grosor de línea
Time Plot Time Scale|Gráfico temporal: escala de tiempo
Use Sharp Gradient|Usar degradado definido
User Sensor|Sensor de usuario
Viz Auto Scale|Visualización: escala automática
Viz Bar Count|Visualización: número de barras
Viz Bar Spacing|Visualización: espacio entre barras
Viz Bass Level|Visualización: nivel de graves
Viz Draw Style|Visualización: estilo de dibujo
Viz Dynamic Range|Visualización: rango dinámico
Viz Inner Radius|Visualización: radio interior
Viz Layout|Visualización: disposición
Viz Line Width|Visualización: grosor de línea
Viz Max Bar Height|Visualización: altura máxima de barras
Viz Segment Count|Visualización: número de segmentos
Viz Segment Spacing|Visualización: espacio entre segmentos
Viz Smoothing|Visualización: suavizado
Viz Style|Visualización: estilo
Viz Treble Boost|Visualización: refuerzo de agudos
Viz Use Segments|Visualización: usar segmentos
Wave Count|Número de ondas
Wave Style|Estilo de onda
Wave Type|Tipo de onda
Width|Ancho
X|X
Y|Y
